ID,Company_name,year,cgpa_criteria,branch_criteria,ce,entc,it,Male,Female,Total,sal_lpa
136,DataAxle ( Pending ),2023-24,7.95,All UG,0,0,0,0,0,0,0
137,Dataeaze,2022-23,6.5,All (UG),1,3,0,3,1,4,8
138,Dataeze,2023-24,6.82,ALl UG,1,1,0,1,1,2,8
139,Datametica,2022-23,8.9,All (UG),1,1,1,3,0,3,10
140,Deeptek,2019-20,NC,CE & IT (UG),1,0,0,0,1,1,6.5
141,Delhivery,2020 -21,6.5,All (UG) and CE (PG),0,0,0,0,0,0,8
142,Deloitte,2021 -22,6.5,All (UG),3,2,2,4,3,7,7.6
143,Deloitte India,2022-23,6.5,All (UG),1,6,1,6,2,8,7
144,DeltaX,2023-24,6.82,All UG,1,1,0,1,1,2,5
145,Demand Matrix,2019-20,6.82,All(UG),0,0,0,0,0,0,4.5
146,Deqode,2019-20,NC,CE & I T (UG),2,0,1,2,1,3,6.95
147,Deqode,2020 -21,NC,CE & IT (UG),0,0,2,2,0,2,6.5
148,Deutsche Bank,2023-24,PPO,All UG,0,0,2,1,1,2,19.63
149,Deutsche Bank,2021 -22,PPO,All (UG),2,0,1,2,1,3,19.63
150,Deutsche Bank,2021 -22,7.95,All (UG),6,0,1,6,1,7,19.63
151,Deutsche Bank,2022-23,PPO,All (UG),2,0,1,1,2,3,19.63
152,Deutsche Bank,2019-20,7.95,All (UG),7,0,5,9,3,12,14.3
153,Deutsche Bank,2022-23,7,All (UG),15,10,8,14,19,33,19.63
154,Deutsche Bank,2020 -21,7.95,All (UG),10,0,3,9,4,13,19.63
155,Dragonfly Financial,2022-23,6.5,All (UG),0,3,7,8,2,10,12
156,Dragonfly Financial Technologies,2023-24,8,All UG,2,1,3,6,0,6,12
157,Druva,2019-20,NC,CE & IT (UG),4,0,3,7,0,7,12
158,Druva,2023-24,6.82,All UG,1,0,1,2,0,2,20.1
159,Druva,2020 -21,6.82,CE & IT (UG),0,0,0,0,0,0,12
160,Druva,2021 -22,7,CE & IT (UG),5,0,5,8,2,10,15
161,Druva,2022-23,8,CS & IT (UG),3,0,3,5,1,6,20.01
162,e-Emphasys,2022-23,6.82,All (UG),1,0,0,1,0,1,8
163,e-Zest,2020 -21,6.59,All (UG),0,0,1,0,1,1,3.2
164,e-Zest,2019-20,6.82,All(UG),0,1,1,0,2,2,4
165,e2open,2022-23,7.5,CS & IT (UG),8,0,12,10,10,20,8
166,E2Open,2023-24,9.09,All UG,3,0,2,2,2,5,8
167,eInfochip,2019-20,6.82,All(UG),0,3,0,0,3,3,3.6
168,Elastic Run,2021 -22,8,CE & IT (UG & PG),1,0,1,1,1,2,8
169,Elastic Run,2022-23,7,CS & IT (UG),1,0,1,0,2,2,8
170,ElasticRun,2019-20,6.82,All(UG),4,0,2,5,1,6,6.5
171,ElasticRun,2020 -21,6.82,CE & IT (UG),0,0,1,1,0,1,8
172,ElasticRun,2020 -21,6.82,CE & IT (UG),1,0,1,2,0,2,6
173,Emerson,2021 -22,6.82,All (UG),0,3,3,4,2,6,7.19
174,Emerson,2022-23,6.75,All (UG),2,0,1,3,0,3,8
175,Emerson,2023-24,6,All UG,4,0,2,2,4,6,8
176,Endurance International,2020 -21,6.82,All (UG),0,0,1,0,1,1,3.72
177,Endurance International,2019-20,6.82,All(UG),0,2,0,1,1,2,4.5
178,Energy Exemplar,2022-23,7,All (UG),1,2,1,3,1,4,11
179,Energy Exemplar,2023-24,7,All UG,3,1,0,4,0,4,11
180,Energy Exempler,2019-20,7.5,CE & IT (UG),4,0,0,2,2,4,8
181,Enthralltech,2019-20,7,All (UG),1,2,1,4,0,4,4
182,EnthrallTech,2020 -21,6.82,All (UG),3,0,0,3,0,3,7
183,Entrata,2023-24,7.95,CE&IT,3,0,3,5,1,6,6
184,EPIKInDiFi,2020 -21,8,All (UG),0,0,0,0,0,0,12.75
185,eQ Technologic,2020 -21,6.82,All (UG),0,4,0,4,0,4,7.5
186,eQ Technologic,2019-20,6.25,All (UG),0,9,0,3,6,9,7.5
187,eQ Technologic,2019-20,6.25,All (UG),5,3,2,7,3,10,8.5
188,eQ Technologic,2020 -21,6.82,All (UG),5,0,7,10,2,12,8.5
189,EQ Technologic,2021 -22,6.82,All (UG),6,1,4,9,2,11,11.89
190,EQ Technologic,2022-23,NC,All (UG),0,3,0,3,0,3,11.13
191,EQ Technologic,2021 -22,6.82,E&TC (UG),0,5,0,4,1,5,10.22
192,EQ Technologic,2022-23,NC,All (UG),6,0,2,8,0,8,13.88
193,eQ Technologies (QA),2023-24,6.82,All UG,0,7,1,6,2,8,11.13
194,eQ Technologies (SDE),2023-24,6.82,All UG,10,0,2,11,1,12,13.88
195,Equifax,2023-24,6.5,ALL UG,0,3,1,4,0,4,7
196,Ernst & Young,2020 -21,7.95,All (UG),0,0,0,0,0,0,4.37
197,Espressif,2019-20,8,All (UG),1,0,0,1,0,1,10
198,Espressif Systems,2020 -21,NC,All (UG and PG),1,0,2,1,2,3,12
199,Espressif Systems,2022-23,8,All (UG),1,0,0,1,0,1,18.9
200,Espressif Systems,2021 -22,8,All (UG and PG),5,1,0,6,0,6,18.9
201,Eternus Solutions,2019-20,6.82,All(UG),1,1,0,1,1,2,4.25
202,ETraveli,2022-23,6.5,CS & IT (UG),0,0,2,2,0,2,8.5
203,Eumentis Cloud,2020 -21,6.82,All (UG),0,1,1,1,1,2,4.07
204,evosys global,2019-20,6.25,All(UG),0,2,0,1,1,2,5.5
205,EXL,2022-23,6,All (UG),1,5,2,5,3,8,6.5
206,Extramarks Education,2020 -21,NC,All (UG and PG),0,0,0,0,0,0,11.5
207,Fabric Inc,2020 -21,7.5,All (UG),0,0,0,0,0,0,8.5
208,Facctum IT Solutions,2022-23,6.5,All (UG),0,1,1,2,0,2,6
209,Fiat India Automobile,2019-20,7,CE & IT (UG),1,0,1,1,1,2,6.5
210,Financial sofware systems,2019-20,7.95,CE & IT (UG),0,0,0,0,0,0,7
211,Finastra,2019-20,6.82,All(UG),7,5,6,15,3,18,7.26
212,Findability Sciences,2022-23,8,All (UG),0,0,1,1,0,1,6
213,Findability Sciences,2022-23,8,All (UG),1,0,0,1,0,1,8
214,FinIQ,2019-20,6.82,All (UG),3,1,1,3,2,5,9.5
215,FinIQ,2021 -22,NC,CE & IT (UG),2,0,2,2,2,4,16.3
216,FinIQ,2020 -21,NC,All (UG),4,0,3,3,4,7,10
217,FinIQ,2020 -21,NC,All (UG),1,0,0,1,0,1,20
218,FinIQ,2022-23,7,All (UG),2,1,1,3,1,4,15
219,FinIQ,2019-20,6.82,All(UG),1,0,1,1,1,2,11.5
220,Finvu,2021 -22,0,All(UG),0,2,0,2,0,2,7.5
221,Fiserv,2023-24,8,CS&IT,0,0,1,1,0,1,9.65
222,Fiserv,2019-20,6.25,All(UG),8,14,0,13,9,22,5.2
223,Fiserv,2021 -22,6.82,All (UG),2,0,3,2,3,5,8.85
224,Flextrade,2023-24,8,All UG,1,1,1,3,0,3,9
225,Flextrade,2019-20,NC,CE & IT (UG),2,0,1,3,0,3,8
226,Flextrade,2022-23,6.5,CS & IT (UG),1,0,0,1,0,1,11
227,FlexTrade,2021 -22,NC,All (UG),0,0,1,1,0,1,11
228,FlexTrade,2020 -21,NC,CE & IT (UG and PG),2,0,0,2,0,2,8.5
229,Flo Group,2022-23,NC,All (UG),0,2,1,2,1,3,4
230,Flo Group,2019-20,7,All(UG),0,1,0,0,1,1,3.5
231,Flo Group,2020 -21,6.82,All (UG and PG),0,4,0,2,2,4,3.5
232,Fold Health,2022-23,6.75,CS & IT (UG),3,0,0,2,1,3,9
233,Foldhealth,2023-24,7,All UG,1,0,1,2,0,2,12
234,Fox Solutions,2023-24,6.82,ALL UG,1,0,0,1,0,1,5.57
235,General Mills,2023-24,6.62,All UG,3,1,0,2,2,4,12
236,GNS Engg.,2019-20,NC,CE & IT (UG),1,0,0,1,0,1,4
237,Godrej & Boyce,2023-24,6.84,ALl UG,0,3,0,2,1,3,7.25
