unique_id,year,Company_name,cgpa_criteria,deg_criteria,branch_criteria,ce_shift1,ce_shift2,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
83,2020 -21,McKinley & Rice,NC,UG & PG,All (UG and PG),0,0,0,0,0,0,0,0,5
84,2020 -21,Medly Pharmacy,6.82,UG & PG,CE & IT (UG and PG),1,1,NA,NA,1,3,0,3,7
85,2020 -21,Mindstix Software Labs,NC,UG & PG,All (UG and PG),0,1,0,0,1,1,1,2,6.3
86,2020 -21,Mindstix Software Labs,NC,UG & PG,All (UG and PG),1,0,0,0,0,1,0,1,5.5
87,2020 -21,miniOrange,6.82,UG & PG,All (UG and PG),7,2,5,0,6,18,2,20,6
88,2020 -21,Moxie,7,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,9.6
89,2020 -21,NICE Systems,6.82,UG,CE & IT (UG),7,0,NA,NA,5,8,4,12,7.25
90,2020 -21,NTT Data,6.82,UG,CE & IT (UG),1,0,NA,NA,0,0,1,1,3.5
91,2020 -21,oneXtel,7,UG,CE & IT (UG),0,1,NA,NA,1,1,1,2,5.5
92,2020 -21,Persistent,6.82,UG,CE & IT (UG),2,0,NA,NA,2,4,0,4,6.41
93,2020 -21,Persistent,PPO,UG,CE & IT (UG),1,0,NA,NA,0,1,0,1,6.41
94,2020 -21,Persistent,6.82,UG,CE & IT (UG),1,0,NA,NA,3,3,1,4,4.51
95,2020 -21,Persistent,6.82,UG,E&TC (UG),NA,NA,7,3,NA,6,4,10,4.51
96,2020 -21,PharmEasy,6.82,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,11
97,2020 -21,PhonePe,7.5,UG & PG,All (UG and PG),1,0,0,0,0,0,1,1,30.5
98,2020 -21,PlanetSpark,NC,UG,All (UG),0,0,1,1,1,2,1,3,6.5
99,2020 -21,Platform9 Systems,7,UG,All (UG),2,0,0,0,3,5,0,5,10
100,2020 -21,Product Dossier,6.82,UG,CE & IT (UG),1,1,NA,NA,4,3,3,6,3.5
101,2020 -21,PTC Software,NC,UG & PG,All (UG and PG),1,0,0,1,1,1,2,3,6
102,2020 -21,PublicisSapient,7.82,UG,All (UG),0,0,3,0,0,2,1,3,6.5
103,2020 -21,PubMatic,7.38,UG & PG,CE & IT (UG and PG),1,0,NA,NA,0,1,0,1,9.52
104,2020 -21,Purplle.com,NC,UG,All (UG),0,0,0,0,0,0,0,0,6.5
105,2020 -21,Quantiphi,7.38,UG & PG,All (UG) & CE (PG),4,0,0,0,5,7,2,9,8.5
106,2020 -21,RackWare Technologies,8.5,UG,All (UG),6,0,0,0,0,6,0,6,9
107,2020 -21,Rakuten,7.5,UG & PG,All (UG and PG),0,0,0,0,0,0,0,0,36.14
108,2020 -21,RBL Bank,6.82,UG,CE & IT (UG),2,2,NA,NA,0,1,3,4,9
109,2020 -21,Red Panda,6.82,UG,All (UG),1,0,1,0,1,3,0,3,5
110,2020 -21,RIA Advisory,7.38,UG,All (UG),2,1,2,0,1,4,2,6,5.5
111,2020 -21,rtCamp,NC,UG & PG,All (UG and PG),0,0,0,0,0,0,0,0,12
112,2020 -21,Rudder Analytics,6.25,UG & PG,All (UG) and CE (PG),0,0,0,0,0,0,0,0,4
113,2020 -21,Ryussi Technologies,6.82,UG,CE & IT (UG),1,0,NA,NA,0,1,0,1,7.5
114,2020 -21,Sagitec,6.82,UG,CE & IT (UG),0,0,NA,NA,2,1,1,2,4
115,2020 -21,Salesforce,7.95,UG-female,CE & IT (UG - Female),1,1,NA,NA,0,0,2,2,8.57
116,2020 -21,SAS,6.82,UG,CE & IT (UG),0,0,NA,NA,1,1,0,1,7.38
117,2020 -21,Schlumberger,6.82,UG,All (UG),0,0,0,1,1,0,2,2,8.8
118,2020 -21,Screen Magic,6.82,UG & PG,CE & IT (UG and PG),2,0,NA,NA,2,1,3,4,7.3
119,2020 -21,SE2,6.82,UG,All (UG),0,1,0,0,3,2,2,4,6.5
120,2020 -21,Sedemac Mechatronics,7,UG,E&TC (UG),NA,NA,1,0,NA,1,0,1,9
