ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
65,Placement-Report_modified_2019-20.csv,62,Pubmatic,2019-20,NC,CE & IT (UG),1,1,0,0,0,0,2,3,0,3,9.42
66,Placement-Report_modified_2019-20.csv,63,Financial sofware systems,2019-20,7.95,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,7
67,Placement-Report_modified_2019-20.csv,64,Honeywell,2019-20,6.82,CE & IT (UG),5,3,2,0,0,0,0,3,2,5,5.5
68,Placement-Report_modified_2019-20.csv,65,ACI Worldwide,2019-20,8,CE & I T (UG),14,11,3,0,0,0,3,13,4,17,8
69,Placement-Report_modified_2019-20.csv,66,evosys global,2019-20,6.25,All(UG),0,0,0,2,2,0,0,1,1,2,5.5
70,Placement-Report_modified_2019-20.csv,67,RIA Advisory,2019-20,6.82,All(UG),8,6,2,4,2,2,1,10,3,13,6
71,Placement-Report_modified_2019-20.csv,68,Capgemini,2019-20,6.82,All (UG and PG),2,1,1,1,0,1,1,3,1,4,6.8
72,Placement-Report_modified_2019-20.csv,69,SE2,2019-20,6.82,All(UG),7,5,2,4,2,2,2,11,2,13,8
73,Placement-Report_modified_2019-20.csv,70,Shoreline,2019-20,6.82,All(UG),0,0,0,0,0,0,0,0,0,0,6.5
74,Placement-Report_modified_2019-20.csv,71,Amdocs,2019-20,6.82,All UG,2,1,1,9,5,4,2,10,3,13,5
75,Placement-Report_modified_2019-20.csv,72,Energy Exempler,2019-20,7.5,CE & IT (UG),4,4,0,0,0,0,0,2,2,4,8
76,Placement-Report_modified_2019-20.csv,73,Altimetrik,2019-20,7,All(UG),2,2,0,4,2,2,0,3,3,6,5
77,Placement-Report_modified_2019-20.csv,74,Fiat India Automobile,2019-20,7,CE & IT (UG),1,1,0,0,0,0,1,1,1,2,6.5
78,Placement-Report_modified_2019-20.csv,75,Jaro Education,2019-20,NC,All (UG and PG),0,0,0,0,0,0,0,0,0,0,12.02
79,Placement-Report_modified_2019-20.csv,76,HDFC Bank,2019-20,6.82,CE & I T (UG),4,4,0,0,0,0,3,4,3,7,9.5
80,Placement-Report_modified_2019-20.csv,77,RBL Bank,2019-20,6.82,CE & I T (UG),3,3,0,0,0,0,2,2,3,5,9
81,Placement-Report_modified_2019-20.csv,78,Fiserv,2019-20,6.25,All(UG),8,6,2,14,10,4,0,13,9,22,5.2
82,Placement-Report_modified_2019-20.csv,79,Winjit Technologies,2019-20,6.82,CE & IT (UG),1,1,0,0,0,0,0,1,0,1,6.22
83,Placement-Report_modified_2019-20.csv,80,udChalo,2019-20,7,CE & IT (UG),1,1,0,0,0,0,2,1,2,3,8.5
84,Placement-Report_modified_2019-20.csv,81,Tracelink,2019-20,7.31,All(UG),2,2,0,2,2,0,0,4,0,4,8
85,Placement-Report_modified_2019-20.csv,82,miniOrange,2019-20,NC,All(UG),1,1,0,2,2,0,1,4,0,4,7
