,,,,,Society for Computer Technology and Research’s,,,,,,,,,,,,
,,,,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,,,,,,,,,,,,,
,,,,,"S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043",,,,,,,,,,,,
,,,,,PLACEMENT REPORT (2020-21),,,,,,,,,,,,
,,,,,,Students Placement (Company Wise),,,,,,,,,,,
,,,,,,UG,,,,PG,,,,,,,
,,,,,,,,,,,,,Total,,,,Total Salary
Sr. No.,Company,Criteria (CGPA & Branches),,BE CE,,BE E&TC,,,,ME,,,,,Sal. LPA,Visit Date,
,,,,,,,,BE,IT,ME,CE,ME,IT,,,,LPA
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,,E&TC,,M,F,T,,,
,,,Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,
108,NTT Data,6.82,CE & IT (UG),1,0,NA,NA,0,NA,NA,NA,0,1,1,3.5,15/10/20,3.5
109,Cognizant,6.82,All (UG and PG),4,2,10,4,6,0,0,0,19,7,26,4.01,15/10/20,104.26
110,Vodafone,6.82,All (UG),0,0,6,2,2,NA,NA,NA,6,4,10,4.25,18/11/20,42.5
111,Winjit Technologies,6.82,CE & IT (UG),0,0,NA,NA,1,NA,NA,NA,0,1,1,4.5,01/12/20,4.5
112,Endurance International,6.82,All (UG),0,0,0,0,1,NA,NA,NA,0,1,1,3.72,11/12/20,3.72
113,Ernst & Young,7.95,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,4.37,09/01/21,0
114,Sell.do,6.82,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,4,16/01/21,0
115,Kylas,6.82,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,4,16/01/21,0
116,Centiro,7,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,3.8,20/01/21,0
117,Eumentis Cloud,6.82,All (UG),0,0,1,0,1,NA,NA,NA,1,1,2,4.07,12/02/21,8.14
118,Yardi,6.59,All (UG),4,3,9,2,7,NA,NA,NA,10,15,25,4.5,20/02/21,112.5
119,Infosys,6.82,All (UG and PG),1,1,2,0,0,0,0,0,1,3,4,3.5,21/02/21,14
120,Amura,6.82,All (UG),0,0,1,0,1,NA,NA,NA,1,1,2,4.5,10/03/21,9
121,Sagitec,6.82,CE & IT (UG),0,0,NA,NA,2,NA,NA,NA,1,1,2,4,11/03/21,8
122,e-Zest,6.59,All (UG),0,0,0,0,1,NA,NA,NA,0,1,1,3.2,16/03/21,3.2
123,Agiliad,7.38,All (UG),2,1,5,2,2,NA,NA,NA,5,7,12,4,17/03/21,48
124,Atos,6.82,All (UG),1,0,2,1,2,NA,NA,NA,3,3,6,3.1,20/03/21,18.6
125,Rudder Analytics,6.25,All (UG) and CE (PG),0,0,0,0,0,0,NA,NA,0,0,0,4,07/04/21,0
126,Product Dossier,6.82,CE & IT (UG),1,1,NA,NA,4,NA,NA,NA,3,3,6,3.5,07/04/21,21
127,Talentio,5.68,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,3,22/04/21,0
128,Flo Group,6.82,All (UG and PG),0,0,1,3,0,0,0,0,2,2,4,3.5,01/05/21,14
129,HCL Technologies,8.52,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,3.5,04/05/21,0
130,IntegriChain Inc.,6.82,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,3,08/05/21,0
131,Aligned Automation,6.82,All (UG),0,0,2,0,0,NA,NA,NA,2,0,2,3.75,19/05/21,7.5
132,IGT Solutions,7.38,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,4,20/05/21,0
133,Zocdoc,6.82,All (UG),0,0,1,0,0,NA,NA,NA,1,0,1,4.8,26/05/21,4.8
134,iQ Digital,6.82,All (UG),0,0,0,0,1,NA,NA,NA,0,1,1,4,27/05/21,4
135,JISA Softech,NC,All (UG),0,0,1,0,0,NA,NA,NA,1,0,1,4,04/07/21,4
,Group II Total,,,21,9,59,28,41,0,0,0,83,75,158,Avg. Salary,,4.1
,Total count of Students Placed,,,213,56,153,49,190,1,0,0,436,226,662,,,
,NA: Not Applicable,NC: No Criteria,,,,,,,,,,,,Overall Avg. Sal.,,,7.15
,Dr. Satish Narkhede,,,,,Dr. R Sreemathy,,,,,,,,Dr. Prahlad Kulkarni,,,
,Training & Placement Officer,,,,,Incharge Principal,,,,,,,,,Director,,
,P:F-TRPL/03/R0,,,,,,,,,,,,,,,,
Cognizant
Cognizant
Cognizant
Cognizant
Cognizant
Cognizant
Cognizant
Cognizant
Cognizant
Cognizant
CrowdStrike
Deqode
Deqode
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
Deutsche Bank
ElasticRun
ElasticRun
ElasticRun
Endurance
EnthrallTech
EnthrallTech
EnthrallTech
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
eQ technologic
Espressif
Espressif
Espressif
Eumentis
Eumentis
e-Zest solutions
FinIQ
FinIQ
FinIQ
FinIQ
FinIQ
FinIQ
FinIQ
FinIQ
FlexTrade
FlexTrade
Flo Group
Flo Group
Flo Group
Flo Group
Goldman Sachs
Goldman Sachs
Goldman Sachs
Helpshift
Helpshift
Helpshift
Helpshift
Helpshift
Hexaware
Hexaware
Hexaware
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
HSBC
Icertis
Icertis
Icertis
Icertis
Icertis
Icertis
IDFC First Bank
Infogen Labs
Infogen Labs
Infogen Labs
Infogen Labs
Infogen Labs
Infosys
Infosys
Infosys
ION
ION
ION
ION
ION
iQ Digital
JISA Softech
Jombay
Kylas
Kylas
Kylas
Kylas
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
L & T Infotech
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
MasterCard
Medly Pharmacy
Medly Pharmacy
Medly Pharmacy
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
MiniOrange
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NICE Systems
NTT Data
NTT Data
OneXtel
OneXtel
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
Persistent
PhonePe
PlanetSpark
PlanetSpark
PlanetSpark
Platform9
Platform9
Platform9
Platform9
Platform9
Product Dossier
Product Dossier
Product Dossier
Product Dossier
Product Dossier
Product Dossier
PTC Software
PTC Software
PTC Software
Publicis Sapient
Publicis Sapient
Publicis Sapient
Pubmatic
Quantiphi
Quantiphi
Quantiphi
Quantiphi
Quantiphi
Quantiphi
Quantiphi
Quantiphi
Quantiphi
Rackware
Rackware
Rackware
Rackware
Rackware
Rackware
RBL Bank
RBL Bank
RBL Bank
RBL Bank
RedPanda
RedPanda
RedPanda
Reliance (jio)
RIA Advisory
RIA Advisory
RIA Advisory
RIA Advisory
RIA Advisory
RIA Advisory
Ryussi technologies
Sagitec
Sagitec
SalesForce
SalesForce
Schlumberger
Schlumberger
Screen Magic
Screen Magic
Screen Magic
Screen Magic
SE2
SE2
SE2
SE2
Sell.Do
Sell.Do
Sell.Do
Siemens
Siemens
Siemens
Siemens
Siemens
Siemens
Siemens
Sophos
Sophos
Sophos
Sophos
Sophos
Sophos
Sophos
Sophos
Symbal.ai
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Digital)
TCS (Ninja)
TCS (Ninja)
TCS (Ninja)
TCS (Ninja)
TCS (Ninja)
TCS (Ninja)
TCS (Ninja)
TIBCO
TIBCO
Tracelink
Tracelink
Tracelink
Tracelink
Tracelink
UBS
UBS
UBS
UBS
UBS
UBS
UdChalo
UdChalo
UdChalo
UdChalo
Valuence Japan
Valuence Japan
Veritas
Veritas
Vertical Fox
Vertical Fox
Vodafone
Vodafone
Vodafone
Vodafone
Vodafone
Vodafone
Vodafone
Vodafone
Vodafone
Vodafone
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
Yardi
ZocDoc
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
ZS Associates
Company Placed,,,,,,
,,Company Placed at,,,,
at,,,,,,
3EA,,3EA,1,Trilogy Innovations,0,#N/A
64Squares,,64Squares,1,Deutsche Bank,13,13
Accenture,,Accenture,25,ZS Associates,24,29
