"Society for Computer Technology and Research’s
PUNE INSTITUTE OF COMPUTER TECHNOLOGY
S.No. 27,Dhankawadi, Pune Satara Road, Pune 411043.
PLACEMENT REPORT (AY: 2019-20)",,,,,,,,,,,,,,,,,,
Students Placement (Companywise),,,,,,,,,,,,,,,,,,
SrNo,Company,"Criteria ( CGPA &
Branches)",,UG,,,,,PG,,,Total,,,Sal. LPA,Visit Date,"Total
Salary
LPA",
,,,,BE CE,,BE E&TC,,BE IT,ME CE,ME E&TC,ME IT,,,,,,,
,,,,,,,,,,,,M,F,T,,,,
Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,,,,,
65,Tracelink,7.31,All(UG),2,0,2,0,0,NA,NA,NA,4,0,4,8,08/01/20,32,
66,miniOrange,NC,All(UG),1,0,2,0,1,NA,NA,NA,4,0,4,7,09/01/20,28,
67(a),Amura,8.5,All(UG),0,0,0,0,1,NA,NA,NA,1,0,1,10.5,20/01/20,10.5,
67(b),Amura,7.38,All(UG),0,0,0,0,0,NA,NA,NA,0,0,0,5,20/01/20,0,
68,Imagination Tech.,8,All(UG),0,0,0,0,0,NA,NA,NA,0,0,0,8.5,22/01/20,0,
69,Goldman Sachs,7.5,All(UG),1,2,0,0,2,NA,NA,NA,3,2,5,23,25/01/20,115,
70,Infogen Lab,6.82,CE & IT (UG),1,0,NA,NA,1,NA,NA,NA,2,0,2,5,05/02/20,10,
71,Reflexis,6,CE & IT (UG),3,0,NA,NA,0,NA,NA,NA,2,1,3,6,11/02/20,18,
72,Redpanda,5.68,All(UG),2,0,0,0,0,NA,NA,NA,2,0,2,5,12/02/20,10,
73,Valuefy,6.82,All(UG),0,0,0,0,0,NA,NA,NA,0,0,0,6,15/02/20,0,
74,Logicmonitor,6.82,All(UG),1,0,0,0,0,NA,NA,NA,1,0,1,7.7,25/02/20,7.7,
75,Mobikasa,6.82,All(UG),0,0,0,0,0,NA,NA,NA,0,0,0,7,27/02/20,0,
76,Credit Suisse,6.82,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,10.81,17/03/20,0,
77,Relfor Lab,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,5,22/04/20,0,
78,Compass,NC,All(UG),0,1,0,0,0,NA,NA,NA,0,1,1,15,28/05/20,15,
79,Sincro (CDK Global),6.25,CE & IT (UG/PG),2,1,NA,NA,0,0,0,0,1,2,3,7.75,09/06/20,23.25,
80,Numerator,6.82,All (UG),1,0,0,0,1,NA,NA,NA,2,0,2,6,25/06/20,12,
81,Cloudwerx,7.5,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,5,26/06/20,0,
82,Ubisoft,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,7,27/06/20,0,
83,Schlumberger,6.82,All (UG and PG),0,0,1,0,0,0,0,0,1,0,1,8.8,28/06/20,8.8,

84,STL,,,,,6.82,,All (UG),2,1,2,0,,0,,NA,NA,NA,2,3,5,,8,,07/07/20,,40,
85,Sagitec,,,,,6.82,,CE & IT (UG),2,0,NA,NA,,1,,NA,NA,NA,1,2,3,,5,,08/07/20,,15,
86,Acquia,,,,,6.82,,CE & IT (UG),3,0,NA,NA,,0,,NA,NA,NA,2,1,3,,8,,10/07/20,,24,
87,Deeptek,,,,,NC,,CE & IT (UG),1,0,NA,NA,,0,,NA,NA,NA,0,1,1,,6.5,,26/07/20,,6.5,
88,Groww,,,,,NC,,All (UG),2,0,0,0,,0,,NA,NA,NA,2,0,2,,20,,10/08/20,,40,
89,Druva,,,,,NC,,CE & IT (UG),3,1,NA,NA,,3,,NA,NA,NA,7,0,7,,12,,14/08/20,,84,
90,Flextrade,,,,,NC,,CE & IT (UG),1,1,NA,NA,,1,,NA,NA,NA,3,0,3,,8,,20/08/20,,24,
91,Tech Prescient,,,,,6.82,,All(UG),1,0,0,0,,0,,NA,NA,NA,0,1,1,,6,,20/09/20,,6,
92,InnoGenium,,,,,6.82,,All(UG),1,0,5,0,,0,,NA,NA,NA,1,5,6,,8.5,,19/11/20,,51,
Group I:Total,,,,,,,,,188,53,101,31,,111,,0,0,0,313,171,484,,Avg. Salary,,,,8.11,
