,,,,,,Society for Computer Technology and Research’s,,,,,,,,,,,
,,,,,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,,,,,,,,,,,,
,,,,,,"S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043",,,,,,,,,,,
,,,,,,PLACEMENT REPORT (2021-22),,,,,,,,,,,
,,,,,,,Students Placement (Company Wise),,,,,,,,,,
,,,,,,UG,,,,PG,,,,,,,
,,,,,,,,,,,,,Total,,,,
Sr. No.,Company,Criteria (CGPA & Branches),,BE CE,,BE E&TC,,,,,,,,,Sal. LPA,Visit Date,Total Salary LPA
,,,,,,,,BE IT,ME CE,ME E&TC,ME IT,,,,,,
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,,,,M,F,T,,,
,,,,,Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,
58,HashedIn,6,All (UG),0,0,2,2,0,NA,NA,NA,4,0,4,8,25-10-21,32
59,HSBC,6,All (UG),0,0,8,6,0,NA,NA,NA,7,7,14,9,30-10-21,126
60,Tracelink,7.5,All (UG),0,0,2,1,2,NA,NA,NA,5,0,5,11.5,13-11-21,57.5
61,HDFC Bank,5.68,All (UG),6,1,13,0,4,NA,NA,NA,16,8,24,9.5,18-11-21,228
62,MetaMorphoSys,6.82,All (UG),0,0,0,0,1,NA,NA,NA,1,0,1,6.5,17-11-21,6.5
63,Helpshift,6,All (UG and PG),0,0,1,1,0,0,0,0,1,1,2,8.5,29-11-21,17
64,Emerson,6.82,All (UG),0,0,3,0,3,NA,NA,NA,4,2,6,7.19,08-12-21,43.14
65,Innovaccer,NC,All (UG and PG),0,0,0,0,1,0,0,0,1,0,1,8,10-12-21,8
66,Berkadia,6.82,CE & IT (UG),1,2,NA,NA,0,NA,NA,NA,2,1,3,9,07-12-21,27
67,Turtlemint,7,All (UG),2,0,1,0,0,NA,NA,NA,2,1,3,19,17-12-21,57
68,Veras Retail,6.82,All (UG),0,0,1,0,0,NA,NA,NA,1,0,1,7,09-11-21,7
69,Lentra AI,6.82,All (UG),1,0,1,1,0,NA,NA,NA,3,0,3,7.5,27-12-21,22.5
70,CLSA,6.82,CE & IT (UG),0,0,NA,NA,1,NA,NA,NA,1,0,1,8,10-01-22,8
71,Ryussi Technologies,7,CE & IT (UG),0,0,NA,NA,2,NA,NA,NA,2,0,2,7.5,25-01-22,15
72,Honeywell,6.82,All (UG),1,0,0,1,1,NA,NA,NA,1,2,3,5.5,25-01-22,16.5
73,RedPanda,6.82,All(UG),0,0,1,0,0,NA,NA,NA,0,1,1,6,28-01-22,6
74,Acuitilabs,6.82,All(UG),1,0,0,0,0,NA,NA,NA,1,0,1,8,31-01-22,8
75,Media.net,7.5,ALL(UG),1,0,0,0,0,NA,NA,NA,1,0,1,15.77,28-02-22,15.77
76,Ciena,7,ALL(UG),0,0,1,0,0,NA,NA,NA,1,0,1,11.38,01-03-22,11.38
77,PharmEasy,6.82,CE & IT (UG),1,1,NA,NA,0,NA,NA,NA,2,0,2,20,14-03-22,40
78,Neal Analytics,6.82,CE & IT (UG),2,0,NA,NA,2,NA,NA,NA,2,2,4,7,22-03-22,28
79,64Squares,6.82,All (UG),0,0,1,0,0,NA,NA,NA,1,0,1,7.5,02-04-22,7.5
80,CION Digital,8,CE & IT (UG),2,0,NA,NA,0,NA,NA,NA,1,1,2,20.15,18-04-22,40.3
81,Varian Medical System,6.82,All (UG),0,0,1,0,0,NA,NA,NA,0,1,1,8.5,05-05-22,8.5
82,Microsoft,PPO,All (UG),1,0,0,0,1,NA,NA,NA,0,2,2,44.7,PPO,89.4
83. a,Amazon,PPO,All (UG),1,0,0,0,0,NA,NA,NA,1,0,1,112,PPO,112
