"Society for Computer Technology and Research’s
PUNE INSTITUTE OF COMPUTER TECHNOLOGY
S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043
TRAINING AND PLACEMENT REPORT (2023-24)",,,,,,,,,,,,,,
Students Placement (Company Wise),,,,,,,,,,,,,,
Sr. No.,Company,Criteria (CGPA & Branches),,UG,,,,,Total,,,Sal. LPA,Total Salary LPA,
,,,,BE CE,,BE E&TC,,BE IT,,,,,,
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,M,F,T,,,
                                                                                Group I: Niche Companies (Salary above 5 LPA)                                                                                ,,,,,,,,,,,,,,
21,Toshiba,8,All UG,0,0,1,0,1,2,0,2,10,20,
22,Adobe,-,All UG,1,0,0,0,1,0,2,2,47.28,94.56,
23,Ideas,6.82,All UG,0,2,0,0,0,2,0,2,12.4,24.8,
24,Searce,6.82,All UG,1,0,2,0,2,4,1,5,8,40,
25,eQ Technologies (SDE),6.82,All UG,8,2,0,0,2,11,1,12,13.88,166.56,
26,eQ Technologies (QA),6.82,All UG,0,0,5,2,1,6,2,8,11.13,89.04,
27,JPMC,--,--,2,0,0,0,0,0,2,2,19.6,39.2,
28,Dragonfly Financial Technologies,8,All UG,2,0,1,0,3,6,0,6,12,72,
29,Energy Exemplar,7,All UG,3,0,1,0,0,4,0,4,11,44,
30,Metro-GSC,7,All UG,1,0,2,0,1,1,3,4,9,36,
31,ISS,8.5,All UG,3,0,0,1,0,4,0,4,13,52,
32,E2Open,9.09,All UG,1,2,0,0,2,2,2,5,8,40,
33,ACA Group,7,All UG,0,0,1,1,0,2,0,2,10,20,
34,Merilytics,6.5,All UG,2,0,0,0,0,1,1,2,8.5,17,
35,General Mills,6.62,CE+IT+ENTC(Girls),2,1,0,1,0,2,2,4,12,48,
36,Wissen Technology,7.5,All UG,2,0,2,0,1,4,1,5,9.5,47.5,
37,Flextrade,8,All UG,1,0,1,0,1,3,0,3,9,27,
38,Altizon,7.5,All UG,2,0,1,0,2,5,0,5,8.25,41.25,
39,Tech Verito,8,CE&IT,0,0,0,0,1,0,1,1,8,8,
40,Intangles Lab,8,Entc,0,0,1,0,0,0,1,1,6,6,
41,HSBC,6,All UG,9,4,3,4,10,26,6,30,9,270,
42,Northern Trust,--,All UG,0,0,0,0,3,0,3,3,12.5,37.5,
43,Emerson,6,All UG,4,0,0,0,2,2,4,6,8,48,
44,ZS Associates,--,All UG,2,1,6,2,1,10,2,12,13.65,163.8,
45,Rockwell Automation,7.5,CE&IT,2,2,0,0,2,5,1,6,9,54,
46,Rockwell Automation (E),6,Entc,0,0,1,2,0,3,0,3,6,18,
47,Ayaan Autonomous,--,All UG,1,0,0,0,0,1,0,1,8,8,
48,Amdocs,6.62,All UG,8,1,18,7,7,37,4,41,6.5,266.5,

49,TCS R&D,--,All UG,1,0,0,0,0,1,0,1,9,9,
50,Qualys,6.82,All UG,5,1,0,0,7,11,2,13,7.25,94.25,
51,Nice Systems,6.82,All UG,4,0,1,2,4,9,2,11,8,88,
52,PWC,-,--,0,0,0,0,1,1,0,1,6.5,6.5,
53,Principal Global Solutions,6.82,All UG,10,1,4,1,3,16,3,19,8,152,
54,NTT Business Solutions (SAP),7,All UG,0,0,4,1,0,2,3,5,8,40,
55,Cisco,--,--,1,0,0,0,0,0,1,1,22,22,
56,Berkadia,8,CS&IT,2,0,0,0,1,2,1,3,8,24,
57,Pubmatic,7.386,CS&IT,5,1,0,0,3,9,0,9,18.38,165.42,
58,Foldhealth,7,All UG,1,0,0,0,1,2,0,2,12,24,
59,Persistent Systems,6.82,ALl UG,1,2,0,0,2,4,1,5,7.8,39,
60,JM Finance,7,ALl UG,0,0,1,1,0,2,0,2,10,20,
61,Ryussi Technologies,7.5,CE&IT,1,1,0,0,0,2,0,2,16,32,
62,WisdmLabs,6.82,ALl UG,1,0,2,0,0,2,1,3,6.5,19.5,
63,Godrej & Boyce,6.84,ALl UG,0,0,3,0,0,2,1,3,7.25,21.75,
64,Dataeze,6.82,ALl UG,1,0,1,0,0,1,1,2,8,16,
65,CodeWalla,6.82,ALl UG,1,0,1,0,0,1,1,2,10,20,
66,Corizo,5,ALl UG,0,0,1,0,1,2,0,2,6.5,13,
67,Mini Orange,6.8,ALl UG,0,0,1,0,1,2,0,2,6,12,
68,Palo Alto,8,ALl UG,2,0,0,0,0,1,1,2,40,80,
69,Hexaware,6.82,ALl UG,1,1,1,0,1,4,0,4,6,24,
70,Veritas,--,ALl UG,0,0,0,0,0,0,0,0,16,0,
71,Launch Ventures,6.82,ALl UG,1,0,0,0,1,3,0,2,6,12,
72,Pubmatic (Drive2),7.38,CS&IT,2,1,0,0,1,2,2,4,18.38,73.52,
73,DeltaX,6.82,All UG,0,1,1,0,0,1,1,2,5,10,
74,Sell.do,6.82,CS&IT,2,0,0,0,2,4,0,4,7.5,30,
75,Bakliwal Tutorials,6.82,CS&IT,0,0,0,0,0,0,0,0,0,0,
76,DataAxle ( Pending ),7.95,All UG,0,0,0,0,0,0,0,0,0,0,
77,Cadence,--,--,0,0,1,1,0,2,0,2,15,30,
78,Acuiti Labs,8,All UG,2,1,2,0,1,5,1,6,7,42,
79,TCS Prime,-,ALL UG,2,1,3,0,1,7,0,7,9,63,
80,TCS Digital,-,ALL UG,7,3,8,3,13,29,5,34,7,238,
81,Schlumberger (PWD Drive),5.68,ALL UG,0,0,0,0,1,1,0,1,9,9,
82,Fox Solutions,6.82,ALL UG,0,1,0,0,0,1,0,1,5.57,5.57,
83,Neilsoft,6.82,ALL UG,2,1,0,0,4,6,1,7,5,35,
84,Agiliad Technology,7.95,ALL UG,0,0,9,0,1,10,0,10,5.5,55,
85,Cencora,7.95,ALL UG,5,0,3,0,7,13,2,15,7,105,
86,Yardi,6.82,ALL UG,4,0,2,1,6,8,5,13,5.5,71.5,
87,Brainstorm Force,6.82,ALL UG,1,0,0,0,0,1,0,1,7,7,
88,Ittiam,8,ALL UG,0,0,2,0,1,3,1,3,16,48,
89,Ayaan & Symtronics,6.82,ALL UG,4,1,1,0,0,2,4,6,7.65,45.9,
90,Paypal,--,--,0,0,0,0,1,1,0,1,34.8,34.8,
91,Atlan,--,---,0,0,1,0,0,1,0,1,21,21,
92,Quorum Softwares,8,CE&IT,2,1,0,0,0,3,0,3,8,24,
93,Turing,6.82,ALL UG,1,0,1,0,0,2,0,2,7,14,
94,Ria Advisory,8,AlL UG,2,1,0,0,2,5,0,5,8.5,42.5,
95,Rinex,6.62,AlL UG,1,1,4,3,1,7,3,10,5.2,52,
96,Equifax,6.5,ALL UG,0,0,3,0,1,4,0,4,7,28,
97,Zensar,7.38,ALL UG,1,0,0,0,1,2,0,2,10,20,
98,Mindstix,6.82,ALL UG,0,0,2,0,0,1,1,2,6,12,
99,Vertical Fox,6.82,All UG,0,0,1,0,1,1,1,2,9,18,
100,Ordway Labs,7.5,All UG,3,1,2,0,0,2,2,6,8,48,
101,Alpha Sense,8,All UG,1,0,0,0,1,2,0,2,20,40,
102,Accelya,6.82,All UG,1,0,1,0,0,2,0,2,7,14,
103,Fiserv,8,CS&IT,0,0,0,0,1,1,0,1,9.65,9.65,
104,Sagitec,6.82,ALl UG,0,0,2,1,0,2,1,3,5,15,
105,Siemens Regular,PPO,ALL UG,0,0,4,0,3,4,3,7,11,77,
106,Sasken,6.82,ALL UG,0,0,1,0,0,1,0,1,5,5,
107,Entrata,7.95,CE&IT,3,0,0,0,3,5,1,6,6,36,
108,NCS,6.82,ALL UG,3,1,0,0,2,5,1,6,6.82,40.92,
Group I Total,,,,219,59,139,41,180,478,157,638,Avg. Salary,10.41,

                                                                              Group II: Variant Recruiters (Salary below 5 LPA)                                                                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Accenture,,,,,--,ALL UG,4,0,3,,1,,,0,,3,5,8,,4.5,,,,36,
2,TCS Ninja,,,,,--,ALL UG,4,1,9,,6,,,1,,18,3,21,,3.36,,,,70.56,
3,IBM,,,,,--,--,0,0,0,,0,,,1,,0,1,1,,4.5,,,,4.5,
4,,,,,,,--,,,,,,,,,,,,,,,,,,0,




Group II Total,,,,,,,,8,1,12,,7,,,2,,21,9,30,,Avg. Salary,,,,3.7,
Total count of Students Placed,,,,,,,,227,60,151,,48,,,182,,499,166,668,,Overall Median Sal.,,,,9,
Department Average,,,,,,,,10.74,,7.82,,,,,9.96,,,,,,Overall Avg. Sal.,,,,10.11,
NA: Not Applicable NC: No Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,Dr. Satish Narkhede,,,,,,,Dr. Sanjay Gandhe,,,,,,,,,Dr. Prahlad Kulkarni,,,,,,

,,,Training & Placement Officer,,,,,,,,,,Principal,,,,,,,,,Director,,,,

,P:F-TRPL/03/R0,,,,,,,,,,,,,,,,,,,,,,,,,
